"Pregunta","Semana","Tema","Dificultad","Opciones","Respuesta correcta","Explicación"
"Para piel con ardor eliges...","Semana 11","Protocolos","Básica","A) Calmante | B) Purificante agresivo | C) Microdermo","A","Se prioriza confort."
"En caso final, ¿qué se registra?","Semana 12","Casos","Media","A) Diagnóstico, pasos, reacción y seguimiento | B) Solo producto usado | C) Solo foto","A","El portafolio requiere razonamiento."
"Si hay duda de seguridad, ¿qué haces?","Semana 12","Seguridad","Básica","A) Bajar intensidad, posponer o derivar | B) Continuar igual | C) Usar más aparato","A","La seguridad manda."
"¿Cuál es una condición y no un biotipo?","Semana 1","Diagnóstico","Básica","A) Mixta | B) Deshidratada | C) Grasa","B","La deshidratación es un estado actual, no la tendencia base."
"¿Qué dato de ficha ayuda a evitar irritación por activos?","Semana 1","Diagnóstico","Media","A) Productos usados en casa | B) Color de cabello | C) Hora de sueño únicamente","A","La rutina actual revela exfoliantes, retinoides o ácidos recientes."
"La barrera cutánea ayuda a retener agua.","Semana 2","Teoría","Básica","A) Verdadero | B) Falso","A","Una barrera funcional reduce pérdida de agua."
"Si una piel arde con productos suaves, lo más prudente es...","Semana 2","Seguridad","Básica","A) Subir intensidad | B) Calmar y simplificar | C) Añadir microdermo","B","El ardor indica baja tolerancia o barrera alterada."
"La doble limpieza significa tallar fuerte dos veces.","Semana 3","Protocolos","Básica","A) Verdadero | B) Falso","B","Doble limpieza es retirar residuos por etapas, sin fricción excesiva."
"Después de una extracción puntual, ¿qué se vigila?","Semana 3","Seguridad","Media","A) Reacción, rojez y comodidad | B) Solo brillo | C) Precio del producto","A","La reacción define si se continúa, se calma o se detiene."
"¿Qué exfoliante suele relacionarse más con comedones?","Semana 4","Ingredientes","Media","A) BHA | B) Oclusivo | C) Pantenol","A","El BHA, como el salicílico, se usa mucho en poros y comedones."
"¿Cuál es señal de sobreexfoliación?","Semana 4","Diagnóstico","Básica","A) Ardor y descamación | B) Poro normal | C) Hidratación cómoda","A","Ardor, tirantez y descamación sugieren exceso o barrera alterada."
"Un oclusivo ayuda a reducir pérdida de agua.","Semana 5","Ingredientes","Básica","A) Verdadero | B) Falso","A","Los oclusivos forman una película que disminuye evaporación."
"Para piel mixta deshidratada conviene...","Semana 5","Protocolos","Media","A) Hidratar sin saturar | B) Resevar por completo | C) Exfoliar fuerte","A","Se busca agua, barrera y textura cómoda."
"¿Cuál lesión amerita derivación o no manipular?","Semana 6","Seguridad","Media","A) Nódulo doloroso | B) Comedón abierto no inflamado | C) Brillo en zona T","A","Lesiones dolorosas o profundas no se fuerzan en cabina."
"¿Qué ingrediente puede resecar si se usa mal en piel sensible?","Semana 6","Ingredientes","Media","A) Arcillas/astringentes | B) Ceramidas | C) Pantenol","A","Las fórmulas absorbentes o astringentes pueden aumentar tirantez."
"¿Qué puede provocar PIH?","Semana 7","Diagnóstico","Media","A) Irritación o inflamación | B) Hidratación suave | C) Protector solar","A","La pigmentación postinflamatoria aparece tras lesión o irritación."
"En manchas, un resultado responsable suele ser...","Semana 7","Protocolos","Básica","A) Gradual | B) Inmediato y agresivo | C) Sin fotoprotección","A","El manejo cosmético de manchas debe ser progresivo y seguro."
"¿Qué técnica se evita ante rojez que empeora con calor?","Semana 8","Aparatología","Básica","A) Vapor intenso | B) Limpieza suave | C) Hidratación","A","El calor puede agravar rojez y sensibilidad."
"Un semáforo amarillo significa...","Semana 8","Seguridad","Básica","A) Adaptar con precaución | B) Tratar agresivo | C) Ignorar ficha","A","Amarillo permite adaptar, no forzar."
"La radiofrecuencia debe usarse siguiendo el manual del equipo.","Semana 9","Aparatología","Básica","A) Verdadero | B) Falso","A","Los parámetros y límites dependen del equipo y la formación."
"¿Qué activo se asocia más con apoyo antioxidante?","Semana 9","Ingredientes","Básica","A) Vitamina C | B) Arcilla | C) Vapor","A","La vitamina C se usa como antioxidante cosmético."
"¿Qué aparato se relaciona más con textura/opacidad resistente?","Semana 10","Aparatología","Media","A) Microdermoabrasión | B) Vapor en rosácea | C) Alta frecuencia en marcapasos","A","Microdermoabrasión puede apoyar textura si no hay contraindicaciones."
"Si una piel tiene varias necesidades, lo correcto es...","Semana 10","Protocolos","Media","A) Priorizar seguridad | B) Tratar todo fuerte | C) Usar todos los aparatos","A","No todo se trabaja en una sola sesión."
"En protocolo sensible, el masaje debe ser...","Semana 11","Protocolos","Básica","A) Suave o adaptado | B) Intenso siempre | C) Con fricción fuerte","A","La piel sensible tolera mejor menor fricción."
"En protocolo piel grasa, ¿qué no debe faltar al final?","Semana 11","Protocolos","Básica","A) Hidratación ligera | B) Resequedad máxima | C) Omitir SPF","A","La piel grasa también necesita hidratación y protección."
"En un caso final, la justificación sirve para...","Semana 12","Casos","Básica","A) Explicar por qué se eligió el protocolo | B) Decorar la ficha | C) Evitar diagnóstico","A","La justificación muestra razonamiento profesional."
"Si una modelo presenta lesión sospechosa, ¿qué haces?","Semana 12","Seguridad","Básica","A) Referir y no tratar la lesión | B) Exfoliarla | C) Aplicar vapor","A","Lesiones sospechosas no se tratan en cabina."
